"id_reservation","id_listing","id_guest","id_traveler","id_host","dim_cancellation_reason","ts_cancelled","ds"
"1A325ECD","E2C75E","8BADF8C","8BADF8C","3566CC7","unknown","1503041047",2017-08-18
"1D66C5E5","1205D35","37BCFA0","37BCFA0","3DBCB52","other","1508794172",2017-10-23
"250DDC95","115DF6B","929767","929767","5A45EAD","other","1517515276",2018-02-01
"15B9BA0F","11BB5CC","2F68366","2F68366","5CC1F3","other","1498022671",2017-06-21
"20386773","13B3FEF","179878C","179878C","3977B07","other","1511369020",2017-11-22
"344A2FAD","14ED527","420A850","420A850","6947664","extenuating_circumstance","1535096866",2018-08-24
"133E7B51","1176E03","79EBE7","79EBE7","22C5FAB","extenuating_circumstance","1494452773",2017-05-10
"3C3F83C9","17B44B6","6FEC68D","6FEC68D","A9E2CED","other","1543267746",2018-11-26
"218FDEC9","145C4C1","1DF3E9B","1DF3E9B","932FE2E","unknown","1513346506",2017-12-15
"1EEB2758","14477F3","2B750AD","2B750AD","7BF46CF","other","1510045962",2017-11-07
"33CF2FE0","19CBFA1","1AADD5","1AADD5","406BBD","not_available","1532556412",2018-07-25
"1895213F","81755D","2C46982","2C46982","2A9CFCD","accommodations_unnecessary","1507644683",2017-10-10
"3BDD1637","1255E00","53078FE","53078FE","7F6AAC0","extenuating_circumstance","1540738864",2018-10-28
"10E6BB5F","FB4853","63E7FBC","63E7FBC","1B3E5E0","unknown","1488885227",2017-03-07
"3C94544E","1AF1108","1762612","1762612","9A00E37","other","1542327021",2018-11-16
"1E68D720","13065C9","BA6EA","BA6EA","7015AB9","accommodations_unnecessary","1509374583",2017-10-30
"22644D8C","D4A5CC","137712C","137712C","16AB70","other","1517402863",2018-01-31
"2A3174C8","10BD202","5417164","5417164","2E06883","travel_dates_changed","1522761058",2018-04-03
"15C54A40","124D8C6","E273CC","E273CC","1E467D1","accommodations_unnecessary","1498412654",2017-06-25
"379EB5D4","1239D1A","161BEF2","161BEF2","9C62F7","host_courtesy","1537630058",2018-09-22
"2ABCDE8D","1724771","95E0D8","95E0D8","A79F257","unknown","1525184855",2018-05-01
"25B1B5AF","140AED2","A31ED54","A31ED54","1DA9656","dislike_accomodations","1518155325",2018-02-09
"3CC0F375","FCC53A","B02FEBC","B02FEBC","48F7561","accommodations_unnecessary","1541669527",2018-11-08
